"TOA5","ULM_Stn1","CR1000X","56673","CR1000X.Std.07.01","CPU:SO397545 Univ of LA Measonet Rev08072024.Station1A.CR1X","36237","FiveMin"
"TIMESTAMP","RECORD","BattV_Avg","WS_30ft_mph_Avg","WS_30ft_mph_Max","WindDir_30ft_D1_WVT","WindDir_30ft_SD1_WVT","WS_10ft_mph_Avg","WS_10ft_mph_Max","WindDir_10ft_D1_WVT","WindDir_10ft_SD1_WVT","WS_Sonic_mph_Avg","WS_Sonic_mph_Max","WindDir_Sonic_D1_WVT","WindDir_Sonic_SD1_WVT","AirTF_Avg","RH_Avg","SlrW_Avg","SlrMJ_Tot","DewPtF","RainSinceMidnight","RV_Pre_Accu_Tot","RV_Tips_Tot","RV_Tot_Pre_Accu","RV_Avg_Pre_Int_Max","RV_Max_Pre_Int_Max","VWC_5cm_Avg","Ka_5cm_Avg","SoilTmpF_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","SoilTmpF_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","SoilTmpF_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","SoilTmpF_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","SoilTmpF_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","SoilTmpF_50cm_Avg","BulkEC_50cm_Avg","T109_30ft_F_Avg","T109_10ft_F_Avg","AbsBaro_inHg_Avg","SeaLvlBaro_inHg_Avg","HeatIndxTmpF_Avg","WindChillTmpF_Avg","BatteryVoltage","BatteryCurrent","LoadCurrent","ChargeInputVoltage","ChargeInputCurrent","ChargeTemp","Chg_State","Chg_Source","Ck_Batt"
"TS","RN","vdc","mph","mph","Deg","Deg","mph","mph","Deg","Deg","mph","mph","Deg","Deg","°F","%","W/m²","MJ/m²","°F","","inch","count","inch","inch/Hour","inch/Hour","m³/m³","unitless","°F","dS/m","m³/m³","unitless","°F","dS/m","m³/m³","unitless","°F","dS/m","m³/m³","unitless","°F","dS/m","m³/m³","unitless","°F","dS/m","m³/m³","unitless","°F","dS/m","°F","°F","inch·Hg","inch·Hg","°F","°F","","","","","","","","",""
"","","Avg","Avg","Max","WVc","WVc","Avg","Max","WVc","WVc","Avg","Max","WVc","WVc","Avg","Smp","Avg","Tot","Smp","Smp","Tot","Tot","Smp","Max","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-07 09:05:00",0,13.47,5.089,6.781,295.1,10.75,4.025,5.766,124.6,12.55,5.363,7.001,317,8.89,85.9,60.28,459.9,0.1103773,71.27,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4,87.1,0.6213604,0.6230257,90.9,85.9,13.46,0.334,0.126,16.05,0.369,34.8,3,1,0
"2024-08-07 09:10:00",1,13.48,6.328,10.43,275.1,18.82,4.967,7.779,103.5,23.51,6.645,10.16,297.5,17.14,86.1,58.9,476.6,0.1429906,70.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",85.5,87.3,29.82525,29.90518,90.9,86.1,13.47,0.333,0.1,16.04,0.37,35.11,3,1,0
"2024-08-07 09:15:00",2,13.47,4.142,6.26,273.9,17.56,3.637,5.766,102.6,24.25,4.618,7.449,296.6,15.32,86.4,59.8,493.2,0.1479589,69.75,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",85.7,87.5,29.8223,29.90223,91.7,86.4,13.48,0.31,0.13,16.04,0.372,35.43,3,1,0
"2024-08-07 09:20:00",3,13.49,4.814,7.527,276.8,21.88,4.211,6.773,104.7,19.04,5.292,9.73,299.6,19.56,86.5,58.88,510.5,0.1531629,69.91,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",85.9,87.7,29.81939,29.89932,91.7,86.5,13.48,0.304,0.095,19.98,0.378,35.69,3,1,0
"2024-08-07 09:25:00",4,13.45,4.736,7.75,273.1,19.11,4.24,6.773,98.4,20.23,5.175,9.13,296.8,17.44,86.6,58.99,527.2,0.1581629,70.15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",85.9,87.7,29.81934,29.89927,91.8,86.6,13.46,0.239,0.123,19.99,0.378,35.93,3,1,0
"2024-08-07 09:30:00",5,13.49,4.737,7.825,282.6,17.3,4.056,6.773,114,19.7,5.298,7.874,304.5,16.04,86.8,58.71,543.3,0.1629979,70.27,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",86.3,88.1,29.81639,29.89632,92.2,86.8,13.47,0.277,0.076,20.07,0.38,36.15,3,1,0
"2024-08-07 09:35:00",6,13.45,5.098,7.154,275.6,16.6,4.66,6.773,105,16.64,5.494,8.03,299.6,14.15,87.1,57.89,560.1,0.1680224,70.29,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",86.4,88.2,29.81344,29.89337,92.4,87.1,13.46,0.235,0.131,20.1,0.381,36.4,3,1,0
"2024-08-07 09:40:00",7,13.48,4.666,7.601,265.6,18.25,4.007,8.11,98.2,21.97,5.043,8.19,289.6,17.55,87.3,57.77,575.3,0.1726024,70.39,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",86.7,88.6,29.81054,29.89047,92.7,87.3,13.47,0.255,0.082,20.18,0.382,36.52,3,1,0
"2024-08-07 09:45:00",8,13.45,4.486,6.409,283.7,19.57,3.871,5.766,116.9,25.23,4.868,6.532,306,16.93,87.7,57.81,590.8,0.1772516,70.23,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",87.3,89.1,29.81054,29.89047,93.6,87.7,13.46,0.21,0.131,20.17,0.382,36.74,3,1,0
"2024-08-07 09:50:00",9,13.48,5.514,9.39,293.2,15.27,4.788,9.12,121.9,15.6,5.67,9.86,314.3,14.28,88.1,56.15,606.6,0.1819775,70.53,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",87.4,89.5,29.81049,29.89042,93.7,88.1,13.46,0.238,0.079,20.26,0.384,36.88,3,1,0
"2024-08-07 09:55:00",10,13.43,5.948,8.72,284.1,12.86,4.838,8.11,117.5,16.93,6.177,9.55,307.4,12.54,88.5,55.74,578.9,0.173682,70.26,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",87.5,89.9,29.80758,29.88751,94.2,88.5,13.44,0.183,0.141,20.3,0.384,37.04,3,1,0
"2024-08-07 10:00:00",11,13.47,6.508,11.03,282.4,15.64,5.615,8.79,112.3,23.29,6.997,12.08,304.1,15.35,88.6,54.77,637,0.1911014,70.09,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",87.7,89.9,29.80758,29.88751,94,88.6,13.45,0.234,0.076,20.37,0.384,37.13,3,1,0
"2024-08-07 10:05:00",12,13.44,7.447,10.95,284.3,17.1,6.817,10.46,114.3,17.48,7.68,10.96,306.5,16.41,88.9,53.71,651.5,0.1954558,69.78,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",87.9,90.2,29.80753,29.88746,94.1,88.9,13.44,0.196,0.128,20.42,0.385,37.25,3,1,0
"2024-08-07 10:10:00",13,13.47,6.976,10.66,282.3,14.26,5.705,9.12,108.3,15.52,7.282,11.97,304.7,14.09,89,52.61,665.4,0.1996328,70.03,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",88.1,90.3,29.80463,29.88456,93.9,89,13.45,0.234,0.076,20.44,0.386,37.3,3,1,0
